Name,Location,Tag,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Starbucks,615 Washington Ave SE,Coffee Shop,"Sunday, 6AM–9PM","Monday, 6AM–10PM","Tuesday, 6AM–10PM","Wednesday, 6AM–10PM","Thursday, 6AM–10PM","Friday, 6AM–10PM","Saturday, 6AM–9PM"
Kowloon Restaurant,935 Washington Ave SE,Chinese Restaurant,"Sunday, 12PM-8PM","Monday, 12PM-8PM","Tuesday, 12PM-8PM","Wednesday, 12PM-8PM","Thursday, 12PM-8PM","Friday, 12PM-8PM","Saturday, 12PM-8PM"
Burger King,925 Washington Ave SE,Restaurant,"Sunday, 6AM-1AM","Monday, 6AM-1AM","Tuesday, 6AM-1AM","Wednesday, 6AM-1AM","Thursday, 6AM-1AM","Friday, 6AM-1AM","Saturday, 7AM-1AM"
LIV TRU,921 Washington Ave SE,Health Food Restaurant,"Sunday, 10AM–1PM","Monday, 7AM–2PM","Tuesday, 7AM–2PM","Wednesday, 7AM–2PM","Thursday, 7AM–2PM","Friday, 7AM–2PM","Saturday, Closed"
European Wax Center,929 Washington Ave SE,Waxing Hair Removal Service,"Sunday, Closed","Monday, 9AM–8PM","Tuesday, 9AM–8PM","Wednesday, 9AM–8PM","Thursday, 9AM–8PM","Friday, 9AM–8PM","Saturday, 9AM–7PM"
Caribou Coffee,917 Washington Ave SE,Coffee Shop,"Sunday, 6:30AM–8PM","Monday, 5:30AM–8PM","Tuesday, 5:30AM–8PM","Wednesday, 5:30AM–8PM","Thursday, 5:30AM–8PM","Friday, 5:30AM–8PM","Saturday, 6:30AM–8PM"
Kung Fu Tea,923 Washington Ave SE,Bubble Tea Store,"Sunday, 11AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Hong Kong Noodle,901 Washington Ave SE,Chinese Restaurant,"Sunday, 9AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 9AM–10PM","Saturday, 9AM–10PM"
Raising Cane's Chicken Fingers,825 Washington Ave SE St 103,Fast Food Restaurant,"Sunday, 10AM–10PM","Monday, 10AM–10PM","Tuesday, 10AM–10PM","Wednesday, 10AM–10PM","Thursday, 10AM–10PM","Friday, 10AM–11PM","Saturday, 10AM–11PM"
Tea House Chinese,2425 University Ave SE,Chinese Restaurant,"Sunday, 10AM–9:30PM","Monday, 11AM–9:30PM","Tuesday, 11AM–9:30PM","Wednesday, 11AM–9:30PM","Thursday, 11AM–9:30PM","Friday, 11AM–10PM","Saturday, 10AM–10PM"
Legendary Spice Hot Pot,2501 University Ave SE,Restaurant,"Sunday, 2:30PM–12AM","Monday, 2:30PM–12:30AM","Tuesday, 2:30PM–12:30AM","Wednesday, 2:30PM–12:30AM","Thursday, 2:30PM–12:30AM","Friday, 2:30PM–1:30AM","Saturday, 2:30PM–1:30AM"
Papa John's Pizza,2639 University Ave SE Ste 130,Restaurant,"Sunday, 11AM–1AM","Monday, 10AM–12AM","Tuesday, 10AM–12AM","Wednesday, 10AM–12AM","Thursday, 10AM–12AM","Friday, 10AM–2AM","Saturday, 10AM–3AM"
Holiday Gas Station,2700 University Ave SE,Convenience Store,"Sunday, 7AM–9:30PM","Monday, 5AM–9:30PM","Tuesday, 5AM–9:30PM","Wednesday, 5AM–9:30PM","Thursday, 5AM–9:30PM","Friday, 5AM–9:30PM","Saturday, 7AM–9:30PM"
Anytime Fitness,2718 University Ave SE,Gym,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
U Garden Restaurant And Event Center,2725 University Ave SE,Chinese Restaurant,"Sunday, Closed","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–10PM","Saturday, 11AM–10:30PM"
Textile Center,3000 University Ave SE #100,Art Gallery,"Sunday, Closed","Monday, Closed","Tuesday, 11AM–3PM","Wednesday, 11AM–3PM","Thursday, 11AM–3PM","Friday, 11AM–3PM","Saturday, 11AM–3PM"
Fresh Thyme Market,24 30th Ave SE,Grocery Store,"Sunday, 7AM–11PM","Monday, 7AM–11PM","Tuesday, 7AM–11PM","Wednesday, 7AM–11PM","Thursday, 7AM–11PM","Friday, 7AM–11PM","Saturday, 7AM–11PM"
Weisman Art Museum,333 E River Pkwy,Art Museum,"Sunday, Closed","Monday, Closed","Tuesday, Closed","Wednesday, Closed","Thursday, Closed","Friday, Closed","Saturday, Closed"
Coffman Memorial Union,300 Washington Ave SE,Student Union,"Sunday, 12–10PM","Monday, 7AM–10PM","Tuesday, 7AM–10PM","Wednesday, 7AM–10PM","Thursday, 7AM–10PM","Friday, 7AM–10PM","Saturday, 8AM–10PM"
Chick-fil-A,300 Washington Ave SE,Fast Food Restaurant,"Sunday, Closed","Monday, 10AM–4PM","Tuesday, 10AM–4PM","Wednesday, 10AM–4PM","Thursday, 10AM–4PM","Friday, 10AM–4PM","Saturday, Closed"
Einstein Bros. Bagels,300 Washington Ave SE,Bagel Shop,"Sunday, Closed","Monday, 7AM–6:30PM","Tuesday, 7AM–6:30PM","Wednesday, 7AM–6:30PM","Thursday, 7AM–6:30PM","Friday, 7AM–4PM","Saturday, Closed"
Caribou Coffee,604 Washington Ave SE,Coffee Shop,"Sunday, 7AM–6PM","Monday, 6AM–6PM","Tuesday, 7AM–6PM","Wednesday, 6AM–6PM","Thursday, 6AM–6PM","Friday, 6AM–6PM","Saturday, 6AM–6PM"
Roti,614 Washington Ave SE,Restaurant,"Sunday, 11AM–8PM","Monday, 11AM–8PM","Tuesday, 11AM–8PM","Wednesday, 11AM–8PM","Thursday, 11AM–8PM","Friday, 11AM–8PM","Saturday, 11AM–8PM"
Sally's Saloon,700 SE Washington Ave,Bar,"Sunday, 11AM–12AM","Monday, 11AM–12AM","Tuesday, 11AM–12AM","Wednesday, 11AM–12AM","Thursday, 11AM–1AM","Friday, 11AM–2AM","Saturday, 11AM–2AM"
Afro Deli & Grill: Minneapolis,720 Washington Ave SE,Restaurant,"Sunday, 10:30AM–7PM","Monday, 10:30AM–7PM","Tuesday, 10:30AM–7PM","Wednesday, 10:30AM–7PM","Thursday, 10:30AM–7PM","Friday, 10:30AM–7PM","Saturday, 10:30AM–7PM"
Bruegger's Bagels,720 Washington Ave SE,Bagel Shop,"Sunday, 7AM–3PM","Monday, 7AM–3PM","Tuesday, 7AM–3PM","Wednesday, 7AM–3PM","Thursday, 7AM–3PM","Friday, 7AM–3PM","Saturday, 7AM–3PM"
Chipotle Mexican Grill,800 Washington Ave SE,Mexican Restaurant,"Sunday, 10:45AM–10PM","Monday, 10:45AM–10PM","Tuesday, 10:45AM–10PM","Wednesday, 10:45AM–10PM","Thursday, 10:45AM–10PM","Friday, 10:45AM–10PM","Saturday, 10:45AM–10PM"
Kimchi Tofu House (Lunch),307 SE Oak St,Korean Restaurant,"Sunday, Closed","Monday, 11AM–3PM","Tuesday, 11AM–3PM","Wednesday, 11AM–3PM","Thursday, 11AM–3PM","Friday, 11AM–3PM","Saturday, 11AM–3PM"
Kimchi Tofu House (Dinner),307 SE Oak St,Korean Restaurant,"Sunday, Closed","Monday, 4–8PM","Tuesday, 4–8PM","Wednesday, 4–8PM","Thursday, 4–8PM","Friday, 4–8PM","Saturday, 4–8PM"
Fly Chix Stadium Village,309 SE Oak St,Chicken Restaurant,"Sunday, 11AM–9PM","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–9PM","Saturday, 11AM–9PM"
Blaze Pizza,1000 Washington Ave SE,Pizza Restaurant,"Sunday, 11AM–9PM","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Legendary Spice,317 SE Huron Blvd Unit A,Sichuan Restaurant,"Sunday, 11AM–9PM","Monday, 11AM–9:30PM","Tuesday, 11AM–9:30PM","Wednesday, 11AM–9:30PM","Thursday, 11AM–9:30PM","Friday, 11AM–10:30PM","Saturday, 11AM–10:30PM"
Caspian Bistro and Gourmet Marketplace,2418 University Ave SE,Middle Eastern Restaurant,"Sunday, 12–8:30PM","Monday, Closed","Tuesday, 12–8:30PM","Wednesday, 12–8:30PM","Thursday, 12–8:30PM","Friday, 12–8:30PM","Saturday, 12–8:30PM"
Flower Shop Inc,1015 SE 8th St,Jewelry Store,"Sunday, Closed","Monday, 9AM–5PM","Tuesday, 9AM–5PM","Wednesday, 9AM–5PM","Thursday, 9AM–5PM","Friday, 9AM–5PM","Saturday, Closed"
Marcy Park,711 11th Ave SE,Park,"Sunday, 6AM–10PM","Monday, 6AM–10PM","Tuesday, 6AM–10PM","Wednesday, 6AM–10PM","Thursday, 6AM–10PM","Friday, 6AM–10PM","Saturday, 6AM–10PM"
Sidewalk Kitchen,817 Washington Ave SE,Chinese Restaurant,"Sunday, 11AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Bona Vietnamese Restaurant,815 Washington Ave SE,Vietnamese Restaurant,"Sunday, 11AM–7:30PM","Monday, 11AM–7:30PM","Tuesday, 11AM–7:30PM","Wednesday, 11AM–7:30PM","Thursday, 11AM–7:30PM","Friday, 11AM–7:30PM","Saturday, 11AM–7:30PM"
Korea Restaurant,211 Oak St SE,Korean Restaurant,"Sunday, Closed","Monday, 11AM–8PM","Tuesday, 11AM–8PM","Wednesday, 11AM–8PM","Thursday, 11AM–8PM","Friday, 11AM–8PM","Saturday, 11AM–8PM"
My Burger,213 Oak St SE,Hamburger Restaurant,"Sunday, 11AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Jimmy John's,219 Oak St SE,Sandwich Shop,"Sunday, 11AM–8PM","Monday, 11AM–8PM","Tuesday, 11AM–8PM","Wednesday, 11AM–8PM","Thursday, 11AM–8PM","Friday, 11AM–8PM","Saturday, 11AM–8PM"
Stub and Herbs,227 Oak St SE,Bar & Grill,"Sunday, 11AM–1AM","Monday, 11AM–2AM","Tuesday, 11AM–2AM","Wednesday, 11AM–2AM","Thursday, 11AM–2AM","Friday, 11AM–2AM","Saturday, 11AM–1AM"
French Meadow Bakery & Cafe,123 Harvard St SE,Cafe,"Sunday, Closed","Monday, 7AM–7:30PM","Tuesday, 7AM–7:30PM","Wednesday, 7AM–7:30PM","Thursday, 7AM–7:30PM","Friday, 7AM–4:30PM","Saturday, 10AM–3PM"
University Recreation and Wellness Center,123 Harvard St SE,Recreation Center,"Sunday, 9AM–10PM","Monday, 5:45AM–11PM","Tuesday, 5:45AM–11PM","Wednesday, 5:45AM–11PM","Thursday, 5:45AM–11PM","Friday, 5:45AM–10PM","Saturday, 8AM–9PM"
Jean K. Freeman Aquatic Center,1910 University Ave SE,Aquatic Centre,"Sunday, 9AM–10PM","Monday, 5:45AM–11PM","Tuesday, 5:45AM–11PM","Wednesday, 5:45AM–11PM","Thursday, 5:45AM–11PM","Friday, 5:45AM–10PM","Saturday, 8AM–9PM"
Anderson Student Innovation Labs,111 Church St SE,Design Lab,"Sunday, Closed","Monday, 10AM–4:30PM","Tuesday, 10AM–4:30PM","Wednesday, 10AM–4:30PM","Thursday, 10AM–4:30PM","Friday, 10AM–4:30PM","Saturday, Closed"
Coal Storage Building,1200 Main St SE,Coal Storage Building,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
Buffalo Wild Wings,2001 University Ave SE Ste 100,Chicken Wings Restaurant,"Sunday, 11AM–11PM","Monday, 11AM–12AM","Tuesday, 11AM–12AM","Wednesday, 11AM–12AM","Thursday, 11AM–12AM","Friday, 11AM–1AM","Saturday, 11AM–1AM"
University YMCA,1801 University Ave SE,Gym,"Sunday, Closed","Monday, 9AM–5PM","Tuesday, 9AM–5PM","Wednesday, 9AM–5PM","Thursday, 9AM–5PM","Friday, 9AM–5PM","Saturday, Closed"
Baseline Tennis Center,1815 4th St SE,Tennis Court,"Sunday, 8AM–6:30PM","Monday, 8:30AM–8:30PM","Tuesday, 8:30AM–8:30PM","Wednesday, 8:30AM–8:30PM","Thursday, 8:30AM–8:30PM","Friday, 8AM–6:30PM","Saturday, 8AM–6:30PM"
Bordertown Coffee,315 16th Ave SE,Coffee Shop,"Sunday, Closed","Monday, 8AM–5PM","Tuesday, 8AM–5PM","Wednesday, 8AM–5PM","Thursday, 8AM–5PM","Friday, 8AM–5PM","Saturday, Closed"
D.P. Dough Minneapolis,1501 University Ave SE Ste 130,Pizza Restaurant,"Sunday, 11AM–1AM","Monday, 11AM–1AM","Tuesday, 11AM–1AM","Wednesday, 11AM–1AM","Thursday, 11AM–2AM","Friday, 11AM–3AM","Saturday, 11AM–3AM"
Raising Cane's Chicken Fingers,302 15th Ave SE,Fast Food Restaurant,"Sunday, 10AM–10PM","Monday, 10AM–10PM","Tuesday, 10AM–10PM","Wednesday, 10AM–10PM","Thursday, 10AM–10PM","Friday, 10AM–11PM","Saturday, 10AM–11PM"
K Signature Barber Shop Dinkytown,306 15th Ave SE,Barber Shop,"Sunday, 12–8PM","Monday, 12–8PM","Tuesday, 9AM–9PM","Wednesday, 9AM–9PM","Thursday, 9AM–9PM","Friday, 9AM–9PM","Saturday, 9AM–9PM"
HOKKAIDO Poke & Sushi,330 15th Ave SE,Restaurant,"Sunday, 11AM–9PM","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–9:30PM","Saturday, 11AM–9:30PM"
Master Noodle,330 15th Ave SE,Rice Restaurant,"Sunday, 11AM–9PM","Monday, 11AM–9PM","Tuesday, 11AM–9PM","Wednesday, 11AM–9PM","Thursday, 11AM–9PM","Friday, 11AM–9PM","Saturday, 11AM–9PM"
Maranatha Christian Church,315 10th Ave SE,Christian Church,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
University Lutheran Chapel,316 10th Ave SE,Lutheran Church,"Sunday, 8AM–12AM","Monday, 12–5PM","Tuesday, 8AM–3PM","Wednesday, 12–8PM","Thursday, 8AM–3PM","Friday, Closed","Saturday, Closed"
The Church of Jesus Christ of the Latter-Day Saints,1205 University Ave SE,Church Of Jesus Christ Of Latter-Day Saints,"Sunday, 9AM–9PM","Monday, Closed","Tuesday, 9AM–9PM","Wednesday, 9AM–9PM","Thursday, 9AM–9PM","Friday, 9AM–9PM","Saturday, 9AM–9PM"
Minneapolis MN LDS Institute of Religion,1205 University Ave SE,Church Of Jesus Christ Of Latter-Day Saints,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
Arvonne Fraser Library,1222 4th St SE,Public Library,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
University Baptist Church,1219 University Ave SE,Baptist Church,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
The Roots Cellar,1219 University Ave SE,Live Music Venue,"Sunday, 10AM–12PM","Monday, 10AM–2PM","Tuesday, 10AM–2PM","Wednesday, 10AM–2PM","Thursday, 10AM–2PM","Friday, 10AM–2PM","Saturday, 6:30–10PM"
Frank From Philly & Andrea Pizza,"1235 4th St SE, Minneapolis, MN 55414",Pizza Restaurant,"Sunday, 11AM–12AM","Monday, 11AM–2:30AM","Tuesday, 11AM–2:30AM","Wednesday, 11AM–2:30AM","Thursday, 11AM–3AM","Friday, 11AM–3AM","Saturday, 11AM–3AM"
Kbop Korean Bistro,425 13th Ave SE,Korean Restaurant,"Sunday, Closed","Monday, Closed","Tuesday, 11AM–8PM","Wednesday, 11AM–8PM","Thursday, 11AM–8PM","Friday, 11AM–8:30PM","Saturday, 11AM–8:30PM"
University Lutheran Church of Hope,601 13th Ave SE,Lutheran Church,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
St Lawrence Catholic Church,1203 5th St SE,Catholic Church,"Sunday, 7:30AM–12PM","Monday, Closed","Tuesday, 10AM–4:30PM","Wednesday, 10AM–4:30PM","Thursday, 10AM–4:30PM","Friday, 10AM–4:30PM","Saturday, 8:30–10AM"
St Lawrence Catholic Church (Afternoon),1203 5th St SE,Catholic Church,"Sunday, 6:30–8PM","Monday, Closed","Tuesday, Closed","Wednesday, Closed","Thursday, Closed","Friday, Closed","Saturday, Closed"
Newman Catholic Campus Ministry,1201 5th St SE,Catholic Church,"Sunday, Open 24 hours","Monday, Open 24 hours","Tuesday, Open 24 hours","Wednesday, Open 24 hours","Thursday, Open 24 hours","Friday, Open 24 hours","Saturday, Open 24 hours"
Army National Guard - U of M,1301 5th St SE,Military Recruiting Office,"Sunday, Closed","Monday, 10AM–7PM","Tuesday, 10AM–7PM","Wednesday, 10AM–7PM","Thursday, 10AM–7PM","Friday, 10AM–5PM","Saturday, Closed"
Burrito Loco,418 13th Ave SE,Bar & Grill,"Sunday, Closed","Monday, 11AM–2AM","Tuesday, 11AM–2AM","Wednesday, 11AM–2AM","Thursday, 11AM–2AM","Friday, 11AM–2AM","Saturday, 11AM–2AM"
Wally's Falafel and Hummus,417 14th Ave SE,Restaurant,"Sunday, 11AM–10PM","Monday, 11AM–10PM","Tuesday, 11AM–10PM","Wednesday, 11AM–10PM","Thursday, 11AM–10PM","Friday, 11AM–10PM","Saturday, 11AM–10PM"
Al's Breakfast,413 14th Ave SE,Breakfast Restaurant,"Sunday, 9AM–1PM","Monday, 6AM–1PM","Tuesday, 6AM–1PM","Wednesday, 6AM–1PM","Thursday, 6AM–1PM","Friday, 6AM–1PM","Saturday, 6AM–1PM"
